ID Year,Year,Violent Crime,Food Insecurity,County,ID Geography,Slug Geography
2020,2020,161.9986725,0.103,"Placer County, CA",05000US06061,placer-county-ca
2020,2020,574.8222656,0.155000001,"Plumas County, CA",05000US06063,plumas-county-ca
2020,2020,291.2445679,0.093999997,"Riverside County, CA",05000US06065,riverside-county-ca
2020,2020,508.2410889,0.143999994,"Sacramento County, CA",05000US06067,sacramento-county-ca
2020,2020,298.703064,0.056000002,"San Benito County, CA",05000US06069,san-benito-county-ca
2020,2020,441.8844299,0.101000004,"San Bernardino County, CA",05000US06071,san-bernardino-county-ca
2020,2020,327.7188416,0.109999999,"San Diego County, CA",05000US06073,san-diego-county-ca
2020,2020,760.4639893,0.133000001,"San Francisco County, CA",05000US06075,san-francisco-county-ca
2020,2020,787.3218384,0.128000006,"San Joaquin County, CA",05000US06077,san-joaquin-county-ca
2020,2020,408.2250671,0.115999997,"San Luis Obispo County, CA",05000US06079,san-luis-obispo-county-ca
2020,2020,209.1124573,0.082999997,"San Mateo County, CA",05000US06081,san-mateo-county-ca
2020,2020,318.0505371,0.097999997,"Santa Barbara County, CA",05000US06083,santa-barbara-county-ca
2020,2020,264.0883484,0.089000002,"Santa Clara County, CA",05000US06085,santa-clara-county-ca
2020,2020,409.5258789,0.111000001,"Santa Cruz County, CA",05000US06087,santa-cruz-county-ca
2020,2020,726.1367188,0.158999994,"Shasta County, CA",05000US06089,shasta-county-ca
2020,2020,422.2259827,0.131999999,"Sierra County, CA",05000US06091,sierra-county-ca
2020,2020,343.5554504,0.169,"Siskiyou County, CA",05000US06093,siskiyou-county-ca
2020,2020,476.3002625,0.126000002,"Solano County, CA",05000US06095,solano-county-ca
2020,2020,367.9194946,0.100000001,"Sonoma County, CA",05000US06097,sonoma-county-ca
2020,2020,578.4520874,0.119000003,"Stanislaus County, CA",05000US06099,stanislaus-county-ca
2020,2020,351.7974854,0.143999994,"Sutter County, CA",05000US06101,sutter-county-ca
2020,2020,540.1375122,0.143999994,"Tehama County, CA",05000US06103,tehama-county-ca
2020,2020,380.3293762,0.165000007,"Trinity County, CA",05000US06105,trinity-county-ca
